公共数据开放主体名称,更新频率,开放属性,数据格式,数据集领域,数据集名称,数据项,数据摘要,序号
白云区科技工业商务和信息化局,每年,无条件开放,xls,民生服务,白云区电动汽车充电站,站点公司名称、站点地址,该数据为白云区电动汽车充电站基本信息，包括：站点公司名称、站点地址,1
白云区民政局,每年,无条件开放,xls,民生服务,白云区骨灰楼信息,区域；名称；规模；开放时间；更新时间,该数据为白云区各镇街骨灰楼基本信息。包括：骨灰楼地址、名称、该信息定期更新。,2
白云区民政局,每年,无条件开放,xls,民生服务,白云区最低生活保障标准信息,年份；金额；更新时间,该数据为白云区最低生活保障标准信息。包括：年份、金额、更新时间等信息。数据来源于颁布的相关政策。,3
白云区民政局,每年,无条件开放,xls,民生服务,白云区重度残疾人护理补贴和困难残疾人生活补贴标准信息,年份；金额；更新时间,该数据为白云区重度残疾人护理补贴和困难残疾人生活补贴标准信息。包括：年份、金额、更新时间等信息,4
白云区民政局,每年,无条件开放,xls,民生服务,白云区农村特困人员供养标准,年份；金额；更新时间,该数据为白云区农村特困人员供养标准信息。包括:年份、金额、更新时间等信息。数据来源于颁布的相关政策。,5
白云区民政局,每年,无条件开放,xls,民生服务,白云区养老机构信息,名称、地址、床位数,该数据为白云区养老机构信息。包括：名称、地址、床位数等信息,6
白云区民政局,每年,无条件开放,xls,民生服务,白云区助餐配餐点情况,长者饭堂所属镇街名称、长者饭堂名称、运营机构名称、隶属服务设施,该数据为白云区助餐配餐点情况信息。包括：长者饭堂所属镇街名称、长者饭堂名称、运营机构名称、隶属服务设施,7
白云区财政局,每年,无条件开放,xls,经济建设,白云区免税资格的非营利组织名单,年份、月份、我区一般公共预算收入（万元）、收入同比增减（万元）、收入同比增减率（%）、我区一般公共预算支出（万元）、支出同比增减（万元）、支出同比增减率（%）,该数据为白云区公开收支挂网数据。,8
白云区财政局,每年,无条件开放,xls,机构团体,白云区2024年上半年收支挂网数据,单位名称、统一社会信用代码,该数据为白云区区级2023年度免税资格的非营利组织名单。包括:单位名称、统一社会信用代码等信息。数据来源于白云区财政局。,9
白云区人力资源和社会保障局,每月,无条件开放,xlsx,职业技能培训,白云区民办培训机构,序号 、名称 、地址 、举办者 、法人 、校长 、办学类型、 批准文号、 联系人/电话、 办学许可证有效期 、许可证号、 所属镇街,该数据为白云区内合法合规取得职业技能培训证的机构,10
白云区人力资源和社会保障局,每月,无条件开放,xlsx,人力资源,白云区人力资源公司,序号 、机构名称 、统一社会信用代码、 法人、 联系电话 、属地 、经营场所地址、 服务范围 、联系人 、联系方式,该数据为白云区内合法合规取得人力资源经营行政许可的机构,11
