承担单位,级别,序号,项目名称,项目批次,支持方向
广东机电职业技术学院,市级,1,一种高效集水高分子多孔膜的制备方法及行为机理研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东机电职业技术学院,市级,2,非结构化动态场景下V-SLAM鲁棒性研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东省计量科学研究院,市级,3,体外诊断设备校准急需蛋白质计量关键技术及标准物质研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东机电职业技术学院,市级,4,柔性多连杆机械手非线性动力学分析与实验验证,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东省新兴激光等离子体技术研究院,市级,5,离子注入对金属氧化物薄膜的缺陷及其化学稳定性的影响机制,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东机电职业技术学院,市级,6,网络嵌入视角下粤港澳大湾区区域文化环境对高新技术企业创新能力的影响机制及对策研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东机电职业技术学院,市级,7,BP神经网络辅助MIMO天线快速优化设计方法研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广州市林业和园林科学研究院,市级,8,几种肖竹芋属植物工厂化生产技术研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东机电职业技术学院,市级,9,静电纺丝纳米纤维宏量制备的多场耦合机理与调控方法研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广州科技职业技术大学,市级,10,负载Cu@g-C3N4/rGO的多功能水凝胶促进感染性创面康复的研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东科贸职业学院,市级,11,基于深度学习的钙钛矿薄膜晶界检测研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东科贸职业学院,市级,12,鱼类致病菌荧光假单胞菌、白皮假单胞菌和水型点状假单胞菌三重恒温微流控快速检测方法的建立,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广东科贸职业学院,市级,13,甲霜灵对映体在水产动物体内的药动学和残留消除研究,2023年度基础与应用基础研究专题,一般项目（博士青年科技人员类）
广州万协通信息技术有限公司,市级,14,低功耗多模态感算一体芯片研发及智能驾驶应用示范项目,2023年度重点领域研发专题（人工智能）,车辆交通
广州市白云区高新技术企业协会,市级,15,2023年广州市白云区科普“一区一品牌”项目,2023年度科普专题,科普品牌项目
广东机电职业技术学院,市级,16,岭南特色农产品蓄冷储运保鲜关键技术与装备应用,2023年度农村科技特派员专题,市内帮扶方向
广东机电职业技术学院,市级,17,"基于""区块链+绿色碳足迹+MVC电商""多元技术的广东康御新型农业示范园数智化运营模式的创新与实践",2023年度农村科技特派员专题,市内帮扶方向
南方医科大学,省级,18,PCM1及其蛋白互作网络调控中心体稳态在精子发生和成熟中的作用和机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,杰出青年
南方医科大学,省级,19,细胞膜-内质网/肌质网膜介导的钙稳态与心血管病机理,2023年度广东省基础与应用基础研究基金自然科学基金项目,杰出青年
南方医科大学,省级,20,基于荧光纳米流式技术的循环细菌胞外囊泡检测新方法的构建及其临床应用,2023年度广东省基础与应用基础研究基金自然科学基金项目,杰出青年
南方医科大学,省级,21,纳米硒载药体系靶向激活造血微环境Notch信号对射线损伤后造血干细胞重塑的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,22,“cGAS-STING-自噬”轴识别及调控幽门螺杆菌感染的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,23,内质网靶向自组装纳米药物多策略增强肿瘤光动力学治疗及抗肿瘤免疫,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,24,糖尿病患者APLN/APJ轴异常活化损伤血睾屏障和精子质量的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,25,靶向性MOV纳米颗粒重建气道粘膜免疫耐受功能及其抑制哮喘炎症反应的机 理研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,26,NLRP3炎症小体与肠道菌群互作在脑出血后皮质脊髓束损伤中的作用及机制 研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,27,铜氧体系下缺电子芳香氮杂环的绿色转化研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,28,瘦素受体SNO化在小胶质细胞介导的蛛 网膜下腔出血后癫痫的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
南方医科大学,省级,29,RNA适配体介导的hfCas13d-RNP外泌体高效抑制登革病毒感染和耐药的机制 研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提升
